Z057,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,O302
Z058,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I110
Z059,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,T402
Z060,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I112
Z061,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I302
Z062,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I202
Z063,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I110
Z064,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I108
Z065,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,T406
Z066,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,A102
Z067,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I112
Z068,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I303
Z069,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I202
Z070,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I102
Z071,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,O301
Z072,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I105
Z073,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,O303
Z074,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,T405
Z075,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,S004
Z076,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I301
Z077,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I306
Z078,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,S003
Z079,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,V301
Z080,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I112
Z081,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I306
Z082,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,S003
Z083,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I104
Z084,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I108
Z085,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,A101
Z086,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,S002
Z087,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I111
Z088,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,S001
Z089,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I203
Z090,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,S002
Z091,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I305
Z092,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,A102
Z094,2024-10-03 07:00:00,2024-10-03 14:35:00,Konzultácia,I101
